CLASSES,SENTENCES,PROVIDER,VALUE
DUTY,"You represent and warrant that: (i) you own the User Content Posted by you or otherwise have all rights necessary to grant the license set forth in this EULA; (ii) the Posting and Use of your User Content does not violate the privacy rights, publicity rights, copyrights, trademark rights, patent rights, trade secret rights, contract rights, or any other rights of any party, including, but not limited to, the rights of any person visible in any of your User Content; (iii) the Posting of your User Content will not require us to obtain any further licenses from or pay any royalties, fees, compensation or other amounts or provide any attribution to any third parties; and (iv) the Posting of your User Content does not result in a breach of contract between you and a third party.",9GAG,3
DUTY,"You agree to pay all monies owing to any person resulting from Posting your User Content, including from 9GAG’s exercise of the license set forth in Section 5.4.",9GAG,3
OTHERS,Through-To-The-Audience Rights.,9GAG,0
OTHERS,"All of the rights you grant in this EULA are provided on a through-to-the-audience basis, meaning the owners or operators of External Services or third party sublicensees of 9GAG will not have any separate liability to you or any other third party for User Content Posted or Used on such External Services or by such third party sublicensees via the Service.",9GAG,0
OTHERS,Waiver of Rights to User Content.,9GAG,0
DUTY,"By Posting User Content, you waive any rights to prior inspection or approval of any marketing or promotional materials related to such User Content.",9GAG,3
DUTY,"You also waive any and all rights of privacy, publicity or any other rights of a similar nature in connection with your User Content, or any portion thereof.",9GAG,3
DUTY,"To the extent any moral rights are not transferable or assignable, you hereby waive and agree never to assert any and all moral rights, or to support, maintain or permit any action based on any moral rights that you may have in or with respect to any User Content you Post.",9GAG,3
OTHERS,Non-Confidentiality.,9GAG,0
PROHIBITION,You must not Post any User Content on or through the Service or transmit to 9GAG any User Content that you consider to be confidential or proprietary.,9GAG,2
PERMISSION,"Any User Content Posted by you or otherwise transmitted to 9GAG will be considered non-confidential and non-proprietary, and treated as such by 9GAG, and may be used by 9GAG in accordance with this EULA without notice to you and without any liability to 9GAG.",9GAG,1
OTHERS,Objectionable Content.,9GAG,0
PERMISSION,"You are not permitted to and agree not to Post any User Content that is or could be interpreted to be, as 9GAG may determine in its sole discretion, (i) abusive, bullying, defamatory, harassing, harmful, hateful, inaccurate, infringing, libelous, objectionable, obscene, offensive, pornographic, shocking, threatening, unlawful, violent, vulgar or in violation of any applicable laws; or (ii) promoting any product, good or service, or bigotry, discrimination, hatred, intolerance, racism or inciting violence ((i) and (ii) collectively, “Objectionable Content”).",9GAG,1
OTHERS,The Posting of any Objectionable Content may subject you to third party claims and none of the rights granted to you in this EULA may be raised as a defense against any third party claims arising from your Posting of Objectionable Content.,9GAG,0
PROHIBITION,You also agree not to use the Service for illegal or unlawful purposes.,9GAG,2
DUTY,"If you encounter any Objectionable Content on the Service, then please immediately email 9GAG at support@9gag.com.",9GAG,3
DUTY,"You acknowledge and agree that 9GAG provides you with the ability to report Objectionable Content as a courtesy, and 9GAG has no obligation to remove or take any other action with respect to any Objectionable Content on the Service that you report to 9GAG.",9GAG,3
PERMISSION,"However, 9GAG in its sole discretion may take any actions it deems necessary and/or appropriate against any User who Posts Objectionable Content, including, without limitation, warning the User, suspending or terminating the User’s Account, removing some or all of the User’s User Content and/or reporting the User to law enforcement authorities, either directly or indirectly.",9GAG,1
DUTY,"By accessing and using the Service, you acknowledge and agree that you may be exposed to Objectionable Content.",9GAG,3
OTHERS,No Liability.,9GAG,0
OTHERS,"For the avoidance of doubt, 9GAG will not be liable for any use or misuse of User Content by any User or any third party sublicensee, whether arising from a breach of this EULA or any other agreement entered into between a User or a third party and 9GAG.",9GAG,0
OTHERS,FTC Endorsement Guidelines.,9GAG,0
DUTY,"Notwithstanding any other provision in this EULA, you represent and warrant that you will comply with all laws and regulations regarding endorsements or testimonials made by you in any User Content, including that you will (i) make only accurate statements that represent your genuine experience with any product, good or service and (ii) make all required disclosures pursuant to the Federal Trade Commission’s (“FTC”) Guides Concerning the Use of Endorsements and Testimonials in Advertising, as such guides may be amended from time-to-time by the FTC.",9GAG,3
OTHERS,Follow this link for further information on complying with the FTC’s guidance: https://www.ftc.gov/sites/default/files/documents/one-stops/advertisement-endorsements/091005revisedendorsementguides.pdf.,9GAG,0
OTHERS,Feedback.,9GAG,0
PERMISSION,"If you choose to provide 9GAG with input or suggestions regarding problems with or proposed modifications or improvements to the Service (“Feedback”), then you hereby grant to 9GAG a perpetual, irrevocable, non-exclusive, fully-paid and royalty-free right to use and exploit the Feedback in any manner and for any purpose without any restriction, credit, attribution or fees due to you.",9GAG,1
OTHERS,Engaging with User Content and Other Users.,9GAG,0
OTHERS,"User engagement with User Content and other Users through the Service (e.g., “liking,” “commenting,” “sharing,” “tagging,” “messaging,” or “ranking”) or any External Service for which we provide “sharing” functionality will be tracked and recorded by 9GAG.",9GAG,0
PERMISSION,You hereby consent to the monitoring of this activity on the Service.,9GAG,1
OTHERS,GENERAL PAYMENT TERMS,9GAG,0
OTHERS,Fees.,9GAG,0
OTHERS,"Certain features of the Service may require you to pay fees, such as the purchase of 9GAG Pro on the App.",9GAG,0
OTHERS,"Before you pay any fees, you will have an opportunity to review and accept the fees that you will be charged.",9GAG,0
OTHERS,"All fees are in U.S. Dollars unless otherwise specified and are non-refundable, except as otherwise required by law.",9GAG,0
OTHERS,Price.,9GAG,0
PERMISSION,"9GAG reserves the right to determine pricing for any paid features of the Service. 9GAG may change the fees for any feature of the Service, including additional fees or charges, if 9GAG gives you advance notice of changes before they apply. 9GAG, at its sole discretion, may make promotional offers with different features and different pricing to any User.",9GAG,1
OTHERS,"These promotional offers, unless made to you, will not apply to your offer or this EULA.",9GAG,0
OTHERS,Authorization.,9GAG,0
PERMISSION,"You authorize 9GAG to charge all sums for the orders that you make and any level of Service you select to the payment method specified in your account or the applicable third-party App Store, such as the Apple App Store or Google Play.",9GAG,1
PERMISSION,"If you pay any fees with a credit card, 9GAG may seek pre-authorization of your credit card account prior to your purchase to verify that the credit card is valid and has the necessary funds or credit available to cover your purchase.",9GAG,1
OTHERS,Merchandise.,9GAG,0
PERMISSION,"We may offer merchandise, physical or digital goods or services (collectively, “Merchandise”) for sale on the Website.",9GAG,1
OTHERS,The price for Merchandise shall be displayed at the point of purchase.,9GAG,0
DUTY,"You shall be responsible for the payment of any Merchandise purchased by you, as well as any shipping costs, taxes or other fees associated with Merchandise.",9GAG,3
PERMISSION,"We reserve the right, with or without prior notice, to limit the available quantity of or discontinue any Merchandise sold or offered for sale.",9GAG,1
OTHERS,Currency.,9GAG,0
OTHERS,All charges and payments for Merchandise will be made in U.S. Dollars unless otherwise specified.,9GAG,0
OTHERS,"Currency exchange settlements and foreign transaction fees are based on your agreement with your credit card, debit card or other payment method provider.",9GAG,0
OTHERS,All purchases of Merchandise made through the Service will be confirmed by an e-mail sent to the e-mail address affiliated with your User account or the e-mail address provided at the time of purchase.,9GAG,0
DUTY,"If you have any questions regarding any purchase confirmation you receive, please direct your questions to support@9gag.com.",9GAG,3
DUTY,"The purchase of Merchandise from any External Services shall be governed by the terms of such External Services and you are responsible for ensuring that you read, understand and agree to the terms of any External Services used by you to purchase any Merchandise.",9GAG,3
OTHERS,Shipment.,9GAG,0
OTHERS,We will arrange for shipment of Merchandise sold by us to you at the address set forth in any order information you provide to us.,9GAG,0
DUTY,Please check the individual order pages for specific delivery options.,9GAG,3
OTHERS,"We cannot currently ship Merchandise to Crimea, Cuba, Iran, Iraq, Syria and North Korea.",9GAG,0
OTHERS,Promotion code discounts do not apply to any shipping fees.,9GAG,0
OTHERS,Title and Risk of Loss.,9GAG,0
OTHERS,"Title and risk of loss to Merchandise that you buy will pass to you upon delivery of the Merchandise, but the purchase of Merchandise shall not transfer any intellectual property rights in any Merchandise unless specifically noted.",9GAG,0
OTHERS,Methods of Payment.,9GAG,0
OTHERS,"Merchandise purchases made through 9GAG can only be made using an approved payment mechanism (e.g., debit and credit cards).",9GAG,0
OTHERS,"We use one or more third parties to process payments for orders, such as, by way of example and not limitation, Apple Pay, PayPal, Stripe, and Shopify Payments. (“Payment Processors”).",9GAG,0
DUTY,Payment Processors may require you to agree to their own terms and conditions.,9GAG,3
OTHERS,We are not liable for any problems or disputes that you may have with such Payment Processors.,9GAG,0
PERMISSION,You authorize 9GAG and our Payment Processors to charge all sums for the purchases that you make on the Website.,9GAG,1
OTHERS,"Any processing or other transaction fees, whether imposed by an issuing bank of a credit card or Payment Processor involved in the processing of a payment transaction, are the sole responsibility of the User, as established by the Payment Processor.",9GAG,0
DUTY,You must be authorized to use the payment method used to make purchases through the Service.,9GAG,3
PERMISSION,9GAG may seek pre-authorization of your credit card prior to a purchase or charge to verify the credit card is valid and/or has the necessary funds or credit available to cover your purchase.,9GAG,1
OTHERS,These pre-authorizations will reduce your available balance by the authorization amount until it is released or reconciled with the actual charge.,9GAG,0
PERMISSION,"Charges for Merchandise occur within a reasonable time of the transaction or shortly thereafter, and 9GAG reserves the right to aggregate multiple charges together into one transaction where such multiple charges occur in close proximity to one another.",9GAG,1
OTHERS,This aggregation will help reduce 9GAG’s credit card transaction fees and enable us to continue to offer the Service for free.,9GAG,0
OTHERS,Taxes.,9GAG,0
DUTY,"When you are a buyer of Merchandise, you are solely responsible for the payment of any taxes and fees arising out of such transaction.",9GAG,3
DUTY,You agree to indemnify and hold 9GAG harmless from any claims by any taxing authority arising out of your purchase of Merchandise on or through the Service.,9GAG,3
OTHERS,Refunds and Exchanges.,9GAG,0
OTHERS,"ALL SALES OF MERCHANDISE FROM THE SERVICE (BUT NOT NECESSARILY FROM EXTERNAL SERVICES) ARE FINAL, and 9GAG does not offer refunds for any purchased Merchandise.",9GAG,0
DUTY,"If the Merchandise you purchased is misprinted, damaged, or defective, then in order to be eligible to exchange the Merchandise, you must submit a claim to us by sending an email to shop@9gag.com within four weeks from the date of receipt of the Merchandise.",9GAG,3
