NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
18,"Your continued use of or access to the website following the posting of any changes constitutes acceptance of those changes.",3,0
19,"In no event shall the aforesaid license granted be deemed to be a transfer of part or all of bilibili’s Intellectual Property Rights to you.",0,0
20,"This End User License Agreement and Terms of Service (“EULA”) is between 9GAG Limited (“9GAG”) and you, an individual user (“you”), and governs your use of 9GAG’s website at 9gag.com (“Website”), mobile software application that has been made available for download (“App”) and any related websites or other online properties owned or controlled by 9GAG (together with the App, the “Service”).",0,0
21,"In such event, Photomath shall not be obligated to provide refunds or other compensation to users in connection with such discontinuation.",0,0
22,"They are activated each time the user visits the website that created that particular cookie.",0,0
23,"You promise that you will not:  infringe intellectual property rights of third parties, including without limitation, intellectual property rights such as copyright and trademark, of us, other users or third parties;infringe the property rights, privacy rights and image rights of us, other users or third parties; disclose information, such as the name, mailing address, telephone number and email address of a specific individual without authorisation, and by which any third party is able to identify the said individual.",2,2
24,"If you decide to access any of the Third-Party Materials and Links linked to Cinewav and/or the Site, you do so entirely at your own risk and subject to the terms and conditions of use for such Third-Party Materials and Links.",3,0
25,"Subject to the terms of these Terms and Conditions, Duolingo grants you a non-transferable, non-exclusive license to download, install, and use one copy of each App in object code form only on an interactive wireless device that you own or control.",1,0
26,"If you do not agree to the changed Subscription Fees, you may cancel your subscription to the Premium Service within thirty (30) days after we notify you of the change.",1,1
27,"The Site or Services may contain links to third-party websites or resources.",0,0
28,"Claims Of Copyright Or Other Intellectual Property Infringement",0,0
29,"Unauthorized access or use of such portions of the Site is prohibited.",2,0
30,"You agree to provide Grammarly with accurate and complete registration information and to promptly notify Grammarly in the event of any changes to any such information.",3,3
31,"You understand that certain updates to these technologies may be required in order to continue use of an EA Services.",3,0
32,"Some Content licensed by, provided to, created by, or otherwise made available by Spotify (e.g., podcasts or shows) may incorporate advertising or other promotional messages.",1,0
33,"7.4.",0,0
34,"Cancellations and Travel Issues.",0,0
35,"At any time, and for any reason, we may provide a refund, discount, or other consideration to some or all of our members (“credits”).",1,1
36,"Nothing in these Terms restricts other legal rights Pinterest may have to User Content, for example under other licenses.",0,0
37,"In order to purchase a Ticket, the Visitor selects the Event on the Site, registers for it, then he/she is given the opportunity to choose the method of payment and the Service directs him/her to the payment system page.",1,1
38,"Consumers are allowed to make multiple stops within the service area covered by the package during the trip.",1,0
39,"Company Information",0,0
40,"THE COMPANY MAKES NO REPRESENTATIONS OR WARRANTIES THAT THE SERVICE OR YOUR ACCESS TO AND USE OF THE SERVICE WILL BE UNINTERRUPTED OR ERROR-FREE, FREE OF VIRUSES, MALICIOUS CODE, OR OTHER HARMFUL COMPONENTS, OR OTHERWISE SECURE.",0,3
41,"If, however, subpart (6) above is found to be invalid, unenforceable or illegal, then the entirety of this arbitration provision shall be null and void, and neither McDonald’s nor you shall be entitled to arbitrate their dispute.",3,0
42,"Rejecting a new change, however, does not revoke or alter your prior consent to any earlier agreements to arbitrate any Dispute between you and Airbnb (or your prior consent to any subsequent changes thereto), which will remain in effect and enforceable as to any Dispute between you and Airbnb.",0,0
43,"Limitation of Liability.",0,0
44,"McDonald’s does not guarantee that the online services will fully function on any particular device or with any particular software.",0,0
45,"Wherever we anticipate that we need to suspend access to the Site for a considerable period of time, we will try to provide you with prior notice where reasonably practicable.",0,0
46,"You may be required to enter into separate agreement(s), whether online or offline, with Alibaba.com or our affiliate for any Service (or features within the Services) (each an “Additional Agreement”).",3,3
47,"Our Content Providers serve as the distance education providers of these programs and determine admissions, refund, and graduation or completion policies and requirements.",0,0
48,"Act with integrity and treat others with respect.",3,3
49,"JetBrains reserves the right, at its sole discretion, to change, add, or remove any part of these Terms of Use at any time without prior notice to you.",1,0
50,"You further agree that Zoom may collect interest at the lesser of 1.5% per month or the highest amount permitted by law on any amounts not paid when due.",3,3
51,"We reserve the sole right to suspend or discontinue the availability of the Site at any time in our sole discretion and without prior notice to or consent by you.",1,0
52,"These Terms are between you and Spotify only, not with Apple, and Apple is not responsible for the Spotify Service and the content thereof.",0,0
53,"You hereby grant to C & G the right to disclose that you are an Tasty Alerts member.",1,0
54,"bilibili is not responsible for providing and is not obliged to provide you with backups or files (if any) kept inside bilibili.",0,0
55,"Copyrights on the website belong entirely to okcupid.site and can not be used or copied without the written consent of the owner.",2,2
56,"You are solely responsible for the storage of your User Content. For further clarification, Moovit",3,3
57,"In the event of any conflict between these Terms and the Data Processing Addendum, the Data Processing Addendum shall prevail.",0,0
58,"Author or sender of the document must ensure that the legal age limit complies with the state, federal or other local laws related to signing the documents.",3,0
59,"Each party will be responsible for paying any AAA filing, administrative and arbitrator fees in accordance with AAA Rules, except that Pinterest will pay for your reasonable filing, administrative, and arbitrator fees if your claim for damages does not exceed $75,000 and is non-frivolous (as measured by the standards set forth in Federal Rule of Civil Procedure 11(b)).",3,0
60,"Copyright Infringement – DMCA Notice",0,0
61,"You acknowledge and agree that all text, graphics, photographs, trademarks, logos, visual interfaces, artwork, computer code, and all other related content contained on the Service is owned by the Company or third parties and is protected by trade dress, copyright, patent and trademark laws, and various other intellectual property rights and unfair competition laws.",3,3
62,"In relation to software applications available to use free of charge on the Websites, we do not warrant or represent that (i) the functionality of the software or your use of it will meet your requirements; (ii) your use of the software will be uninterrupted, timely, secure or free from error; (iii) any information obtained by you as a result of your use of the software will be accurate or reliable or (iv) that defects in the operation or functionality of the software will be corrected.",0,0
63,"You agree that we may automatically update that software, and these Terms will apply to any updates.",3,3
64,"Except as expressly set forth in these Terms, the exercise by either party of any of its remedies under these Terms will be without prejudice to its other remedies under these Terms or otherwise.",0,0
65,"Such laws apply in addition to your rights under this Agreement",0,0
66,"Discord's Terms of Service Welcome!",0,0
67,"Subject to your agreement and continuing compliance with these Terms and any of our other relevant policies, we grant you a non-exclusive, non-transferable, revocable limited license to use the Service solely for its intended purposes.",1,0
68,"We do not assume responsibility for the use of the site by minor individuals who have violated this Agreement.",0,0
69,"This Agreement may only be modified by a written amendment signed by an authorized representative of GitHub, or by the posting by GitHub of a revised version in accordance with Section Q. Changes to These Terms.",0,0
70,"You also agree not to use the Service for illegal or unlawful purposes.",2,0
71,"The way you use the Contents should not be in violation of applicable law, third-party or intellectual property rights.",3,0
72,"If any of the information changes, you should update your account promptly.",3,0
73,"“Your Data” means information provided to Zoom so that Zoom can fulfill the terms of the Agreement and provide access to the Services (e.g., company name, billing address, taxpayer ID number, VAT registration number, contact name and information).",0,0
74,"Some of the Service may be supported by advertising revenue and may display advertisements and promotions, and you hereby agree that we may place such advertising and promotions on the Service or on, about, or in conjunction with your Content.",3,3
75,"If you do not want to agree to these or any updated Terms, you can delete your account.",1,0
76,"Payment Based on Usage Some Service features are billed based on your usage.",0,0
77,"Paying for your order.",0,0
78,"You can only use HiTV Services for personal and non-commercial purposes.",1,0
79,"Eligible products may change over time.",1,0
80,"Welcome to Goodreads.com, the website and online service of Goodreads LLC (together with its affiliates, ""Goodreads"" ""we,"" or ""us"").",0,0
81,"HackerRank Jobs Terms of Service",0,0
82,"By issuing a Report, the User will indemnify and hold ROMEO harmless against any third-party actions or claims related to the deletion of material or stopping of activities.",3,0
83,"Application.",0,0
84,"To uninstall Punkbuster, run the executable at https://www.evenbalance.com/downloads/pbsvc/pbsvc.exe.",0,0
85,"While we work to protect the security of your content and account, Pinterest can’t guarantee that unauthorized third parties won’t be able to defeat our security measures.",0,0
86,"WEBTOON™ Terms of Use",0,0
87,"These Terms will govern any disputes arising before the effective date of the Updated Terms.",0,0
88,"All rights not expressly granted to you in this Agreement are reserved and retained by us or our licensors, suppliers, publishers, rightsholders, or other content providers.",0,0
89,"Any dispute or claim arising from or relating to this Agreement or the Service is subject to the sections on dispute resolution, governing law, disclaimer of warranties and limitation of liability and all other terms in the Amazoncom Conditions of Use (http://wwwamazoncom/conditionsofuse).",0,0
90,"Without prejudice to the generality of the foregoing, bilibili does not warrant:(i) the accuracy, safety, timeliness, reliability, adequacy or completeness of the Services (ii) that your use of and/or access to the Services, or the operation of the Services, will be uninterrupted, secure or free from errors or omissions or that any identified defect will be corrected; (iii) that the Services will meet your requirements or is free from any virus or other malicious, destructive or corrupting code, agent, program or macros; (iv) that use of the Services by you will not infringe rights of third parties; (v) the accuracy, completeness, correctness or reliability of any content, information or advertisement containing, obtained via or connected to the Services in any way; or (vi) that the products, services, materials and information provided through the Services are appropriate or available for use in your jurisdiction.",0,2
91,"Due to technical and other restrictions imposed by content providers, the Service is available only in certain locations.",0,0
92,"Additionally, You understand and agree that Zoom may contact You via e-mail or otherwise with information relevant to Your use of the Services, regardless of whether You have opted out of receiving marketing communications or notices.",3,1
93,"You represent and warrant that you comply with all applicable laws and regulations relating to the nature, condition, packaging, handling, storage, and transportation of the delivery item and the delivery item is not or does not, in any way or condition: (a) non-compliant with or prohibited by any applicable laws or regulations; (b) dangerous; (c) easily experience degradation of quality; (d) flammable; (e) contain explosives; (f) corrosive; (g) contain radioactive substances; (h) prohibited based on the provisions stipulated in the ASEAN Framework Agreement On The Facilitation Of Goods In Transit (including Protocol 9); and/or (i) regulated by other relevant authorities.",3,3
94,"If you’re a parent or legal guardian, and you allow your teenager to use the services, then these terms also apply to you and you’re responsible for your teenager’s activity on the services.",3,0
95,"You agree to indemnify, defend and hold harmless Zoom, its affiliates, officers, directors, employees, consultants, agents, suppliers and Resellers from any and all third party claims, liability, damages and/or costs (including, but not limited to, attorneys’ fees) arising from Your use of the Services, Your violation of this Agreement or the infringement or violation by You or any other user of Your account, of any intellectual property or other right of any person or entity or applicable law.",0,3
96," Provide third parties with information on your visit so that they can present you with advertisements or other offers that may be of interest to you.",0,0
97,"By purchasing Telegram Premium, you agree that you are authorizing recurring monthly payments, which will be made to Telegram using the payment method you selected until the subscription is canceled by you or Telegram.",3,3
98,"This Arbitration Agreement section sets forth the terms and conditions pursuant to which disputes, claims and controversies between you and Spotify will be resolved through arbitration (""Arbitration Agreement"").",0,0
99,"We will also provide you with notice of any material changes by email at least 30 days before the date they become effective.",0,0
100,"YOU WILL BE SOLELY RESPONSIBLE FOR ANY DAMAGE TO YOU RESULTING FROM THE USE OF THE SERVICES.",0,3
101,"bilibili may, from time to time, carry out maintenance or servicing of devices, facilities, software and hardware with which the Services are provided.",1,0
102,"You acknowledge and agree that these Terms and Conditions are solely between you and Duolingo, not Apple, and that Apple has no responsibility for the Apps or content thereof. ",3,3
103,"The arbitrator has the authority to issue any relief allowed by applicable law, but the arbitrator shall have no authority to issue any relief on any basis other than an individual basis.",1,1
104,"NOMO CAM will take actions to delete malicious comments aim at a Member if reporting by any Members, but NOMO CAM could not guarantee such actions might be satisfied with the Member and NOMO CAM is not be liable for such malicious comments.",0,0
105,"LINKS Either SKETCHBOOK CAFE or any third parties may provide links to other websites and/or resources.",1,0
106,"IN NO EVENT WILL DUOLINGO BE LIABLE TO YOU OR ANY THIRD PARTY CLAIMING THROUGH YOU (WHETHER BASED IN CONTRACT, TORT, STRICT LIABILITY OR OTHER THEORY) FOR INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES ARISING OUT OF OR RELATING TO THE ACCESS OR USE OF, OR THE INABILITY TO ACCESS OR USE, THE SERVICE OR ANY PORTION THEREOF, INCLUDING BUT NOT LIMITED TO THE LOSS OF USE OF THE SERVICE, INACCURATE RESULTS, LOSS OF PROFITS, BUSINESS INTERRUPTION, OR DAMAGES STEMMING FROM LOSS OR CORRUPTION OF DATA OR DATA BEING RENDERED INACCURATE, THE COST OF RECOVERING ANY DATA, THE COST OF SUBSTITUTE SERVICES OR CLAIMS BY THIRD PARTIES FOR ANY DAMAGE TO COMPUTERS, SOFTWARE, MODEMS, TELEPHONES OR OTHER PROPERTY, EVEN IF DUOLINGO HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",0,3
107,"Your Assumption of Risk.",0,0
108,"Accordingly, you represent and warrant that: (i) you either are the sole and exclusive owner of all Member Content that you make available through the Site or Services or you have all rights, licenses, consents and releases that are necessary to grant to Academia.edu the rights in such Member Content, as contemplated under these Terms; and (ii) neither the Member Content nor your posting, uploading, publication, submission or transmittal of the Member Content or Academia.edu’s use of the Member Content (or any portion thereof) on, through or by means of the Site or Services will infringe, misappropriate or violate a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy, or result in the violation of any applicable law or regulation.",3,3
109,"Points earned between 1 January to 30 June in a calendar year shall qualify you for the applicable membership tier from 1 July to 31 December of that calendar year.",1,0
110,"The parties intend that no person who is not party to these terms shall have any right under the Contracts (Rights of Third Parties) Act 1999 or otherwise to enforce any term of these Terms of Service.",2,2
111,"Proprietary Information",0,0
112,"Please check this page from time to time to take notice of any such Changes that we make, as they are binding on you, unless you terminate your account.",0,0
113,"You acknowledge that Grab may disclose personal data of other individuals to you in the course of your use of Grab’s Services.",3,3
114,"If you do not cancel your account, we may automatically renew your Service(s) and charge you for any renewal term.",1,0
115,"Except as provided in Section 23.11, in the event that any portion of this Arbitration Agreement is deemed illegal or unenforceable, such provision will be severed and the remainder of the Arbitration Agreement will be given full force and effect.",0,0
116,"If you have any questions, please feel free to email us at hello@dafork.com.",1,0
117,"The Service is owned and operated by the Company, and Digital Content is licensed by the copyright owner to the Company.",0,0
118,"Risk of loss for Kindle Content transfers when you download or access the Kindle Content.",0,0
119,"Also, if either of us provide any documents to the other that are labeled ""confidential"" (or something similar), or provide information (either in writing or verbal) that is of a type that a reasonable person should understand to be confidential such information is to be treated as confidential information.",0,0
120,"SECTION 18 - GOVERNING LAW",0,0
121,"INTRODUCTION",0,0
122,"This section applies to you if you are a corporate Consumer (“Corporate User”) and sets out the terms under which you may utilize the Grab for Business Portal (“Portal”) in conjunction with the Solutions accessed by you or your authorized Consumers (“Authorized User”) through the Application of the Platform.",0,0
123,"If there is a final judicial determination that applicable law precludes enforcement of this paragraph’s limitations as to a particular remedy, then that remedy (and only that remedy) must be severed from the arbitration and may be sought in court.",0,0
124,"Should you be aware of data or password(s) that have been compromised, you are forbidden from distributing that information and are responsible to notify C & G immediately at info@tastyalerts.com.",3,0
125,"However, 9GAG in its sole discretion may take any actions it deems necessary and/or appropriate against any User who Posts Objectionable Content, including, without limitation, warning the User, suspending or terminating the User’s Account, removing some or all of the User’s User Content and/or reporting the User to law enforcement authorities, either directly or indirectly.",1,0
126,"Third Party Links",0,0
127,"Sharing content outside of the Webcomics.com Web site is grounds for immediate termination.",0,0
128,"When you upload any Content to the Service you also authorize us under your copyrights to enforce any violations of the sublicense we grant in the Content to others.",1,0
129,"Personal data",0,0
130,"Judgment on the arbitration award may be entered in any court having jurisdiction thereof.",1,0
131,"As soon as the User knows or has reason to assume that his Account has come into the hands of unauthorized persons, the User should inform ROMEO of this, notwithstanding his own obligations to take immediate effective measures himself, such as changing the password of his Account.",3,0
132,"This Refund Policy of NOMO CAM (""Refund Policy"") is prepared in order to help Members (defined below) minimize potential losses incurred when they fail to timely cancel the auto-renewal service due to negligence or for other reasons, after 7-day free trial of NOMO PRO membership has been activated.",0,0
133,"When we say “Services,” we mean our websites, apps (web, iOS and Android), Application Programming Interfaces (APIs), our content, and various third-party services that make up Sling.",0,0
134,"If you are a Host, you are responsible for understanding and complying with all laws, rules, regulations and contracts with third parties that apply to your Host Services.",3,3
135,"Welcome to Box!",0,0
136,"Following a termination pursuant to the foregoing sentence, Grammarly shall refund the pro rata portion of any Fees relating to the remaining term, as applicable.",3,3
137,"If you do not receive your purchased Merchandise and believe it was lost in transit, then in order to be eligible to receive replacement Merchandise, you must submit a claim to us by sending an email to shop@9gag.com within four weeks of the estimated delivery date.",3,0
138,"This activity is not in the spirit of the BetterPoints challenges, which seek to encourage and motivate people to become more active and lead healthier happier lives.",0,0
139,"You shall not use other persons’ identity, email address, mobile phone number etc for your account registration.",2,0
140,"Export Restrictions.",0,0
141,"Links",0,0
142,"What are the basics of using our Site?",0,0
143,"These fees and charges, if any, are described on the website.",0,0
144,"You agree that you will notify Glow immediately (help@glow.co) if you believe that a third party has obtained your User ID or password, or if you believe that any unauthorized access or use may occur or has occurred.",3,3
145,"We attach great importance to the protection of minors.",0,0
146,"If we are able to resolve the issue in your favor, resulting in reactivating your account, then we will reinstate our Business Services to you within a reasonable time.",0,0
147,"The Terms of Use are an integral part of the Agreement and apply to all use that Users make of the Service.",0,0
148,"Nothing in this Contract excludes nor limits; (1) our liability for death or personal injury to any person resulting from our own negligence or one of our agents; or (2) any liability that by law cannot be excluded.",0,0
149,"Any Personal Information that we use or access within your device will be treated in accordance with this Agreement and the Privacy Policy.",0,0
150,"Any use of the API, including the use of the API through a third-party product that accesses Sling, is bound by these Terms.",0,0
151,"9GAG, in its sole discretion, may provide functionalities across both the Website and the App, and may disable functionalities, temporarily or permanently, at any time, without any liability to you.",1,0
152,"Except for certain pages that have limits on viewing age or you have limited the scope of viewers, all Users can freely browse all public pages in bilibili.",1,1
153,"You can also disable your account, which restricts the processing of your personal information as described in our Privacy Policy.",1,0
154,"You agree personal data provided to you to us can be used, analyzed and assessed by us and selected third parties for marketing purposes including amongst other things, to identify and offer you by any means, products, services and offers that we think might interest you.",3,3
155,"Artizans S.A.S. has no control over, and assumes no responsibility for, the content, privacy policies, or practices of any third party web sites or services.",0,0
156,"You are responsible for your use of game servers and services not owned by EA.",3,3
157,"You should not reuse your Google account password on third-party applications.",2,0
158,"For notifications from LINE to Users regarding the Services, LINE will use a method that LINE considers appropriate, such as posting in an appropriate place within the Services or on LINE’s website.",0,0
159,"The laws of the State of California, excluding its choice of law provisions, will govern these Terms and any dispute that arises between you and Twitter.",0,0
160,"You acknowledge that use of the Service or involvement in any way with BetterPoints is entirely at your own risk.",3,3
161,"Your continued use of the Service after any such amendments, whether or not reviewed by you, shall constitute your agreement to be bound by such amendments.",3,0
162,"PLEASE READ THIS SECTION CAREFULLY SINCE IT LIMITS THE LIABILITY OF THE YELP ENTITIES TO YOU. EACH OF THE SUBSECTIONS BELOW ONLY APPLIES UP TO THE MAXIMUM EXTENT PERMITTED UNDER APPLICABLE LAW.",3,3
163,"Before delivery commences, you must inform the Partner of any specific precautions which should be applied to the handling of the delivery item in accordance with its nature.",3,0
164,"The only Disputes not covered by this Section 15 are claims (i) regarding the infringement, protection or validity of your, EA's or EA's licensors' trade secrets, copyright, trademark or patent rights; (ii) if you reside in Australia, to enforce a statutory consumer right under Australian consumer law; and (iii) brought in small claims court.",0,0
165,"If you do not wish to receive such advertising and marketing, please refer to our Privacy Policy for instructions to unsubscribe or update your privacy settings.",3,0
166,"Amazon reserves the right to make changes to this Agreement for legal or regulatory reasons; for security reasons; to enhance existing features or add additional features to the Service; to reflect advancements in technology; to make reasonable technical adjustments to the Service; and to ensure the ongoing operability of the Service at any time by posting the revised terms in connection with the Service or on your Video Marketplace (noted here).",1,0
167,"Badoo’s Terms and Conditions of Use",0,0
168,"YOU IRREVOCABLY RELEASE THE 9GAG PARTIES FROM ANY AND ALL CLAIMS, DEMANDS AND DAMAGES (ACTUAL AND CONSEQUENTIAL) OF EVERY KIND AND NATURE, KNOWN AND UNKNOWN, ARISING OUT OF OR IN ANY WAY CONNECTED WITH SUCH DISPUTES.",3,3
169,"SECTION 16 - TERMINATION",0,0
170,"You agree that, by entering into this agreement, you and Canva are each waiving the right to a trial by jury or to participate in a class action.",3,3
171,"Miscellaneous",0,0
172,"Age Restriction",0,0
173,"We also own the copyrights, trademarks, service marks, trade names, trade secrets, and other intellectual and proprietary rights throughout the world associated with the Yelp Content and the Service, which are protected by copyright, trade dress, patent, trademark, and trade secret laws and all other applicable intellectual and proprietary rights and laws.",0,0
174,"However, you understand that you (or other people that you collaborate with) can access the Services (including Content) from outside of the United States (subject to applicable law) and that nothing prohibits the processing of other information outside of the United States.",3,0
175,"You may not select or use as an Account username that is: (i) a name of another person with the intent to impersonate that person; or (ii) a name subject to any rights of any person, entity, or organization other than yourself without appropriate authorization.",2,2
176,"Users can send a Report which should contain the information as stated on the Website and/or in the App.",1,1
177,"Only your legacy contact or a person who you have identified in a valid will or similar document expressing clear consent to disclose your content upon death or incapacity will be able to seek disclosure from your account after it is memorialized.",0,0
178,"Company provides customer contact information such as phone numbers (“Customer Data”) to WhatsApp, and Company determines which of its customers it may communicate with using WhatsApp.",0,0
179,"EA does not control those sites and is not responsible for their content or for their collection, use or disclosure of personal information.",0,0
180,"In short, this means that you are solely responsible for any and all content posted, uploaded, emailed, transmitted or otherwise made available by way of the SBC Services, and as such, we do not guarantee the accuracy, integrity or quality of such content.",3,3
181," You will not attempt to disrupt or interfere with the security, integrity, or availability of, or otherwise cause harm to, Website and/or its content and its content delivery, any resources provided for Website visitors, user or administrator accounts, passwords, servers, or any networks connected to Website or accessible through it. ",2,2
182,"You must be at least thirteen (13) years old (or equivalent minimum age depending on your jurisdiction) (""Minimum Age""), or otherwise have parent or guardian consent consistent with the laws of your jurisdiction.",3,0
183,"If LINE believes that a User has violated or may violate any applicable laws or regulations or the provisions of these Terms and Conditions in relation to the Submitted Contents, or when otherwise reasonably necessary for LINE’s business, then LINE reserves the right to preclude such User's use of the Services in certain manners, such as deleting the Submitted Contents without providing prior notice to the User.",1,0
184,"We do not bear any liability for any harm or other adverse consequences to you, caused by this.",0,0
185,"We may also update your Payment Methods using the information provided by the payment service providers.",1,0
186,"In the event you order any professional, educational, operational or technical services (collectively, ""Consulting Services""), the nature, details and duration of the Consulting Services will further be described in the datasheet or statement of work which is referenced.",0,0
187,"We do not endorse, nor are responsible for, the content, accuracy and accessibility of linked websites operated by third parties or for any of your dealings with such third parties.",0,0
188,"If we are unable to process your payment using your designated payment method, we reserve the right to charge any payment method we have on file for you.",1,0
189,"If you purchase an auto-renewing periodic subscription through the Service, your Duolingo account will be billed continuously for the subscription until you terminate it as set forth below.",0,0
190,"9.2.",0,0
191,"All content available through the Service, including designs, text, graphics, images, information, software, audio and other files, and their selection and arrangement (the ""Service Content""), are the proprietary property of Duolingo or its licensors.",0,0
192,"1",0,0
193,"Any use or reliance on any Content or materials viewed or obtained by you through the Vine Archive is at your own risk.",3,0
194,"Terms of Use",0,0
195,"We also reserve the right to deactivate, change and/or require you to change your Box user ID and any custom or vanity URLs, custom links, or vanity domains you may obtain through the Services.",1,0
196,"HackerRank Account.",0,0
197,"Vine Rights",0,0
198,"You may use Website content only for personal, organizational, and informational purposes.",1,0
